RS-CODE-SOURCE-08	g3rs-code/cfg-attr-allow-inventory	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/cfg_attr_allow_inventory/rule.rs
RS-CODE-SOURCE-09	g3rs-code/too-many-effective-code-lines	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/too_many_effective_code_lines/rule.rs
RS-CODE-SOURCE-10	g3rs-code/too-many-use-imports	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/too_many_use_imports/rule.rs
RS-CODE-SOURCE-11	g3rs-code/many-use-imports	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/many_use_imports/rule.rs
RS-CODE-SOURCE-13	g3rs-code/todo-macros	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/todo_macros/rule.rs
RS-CODE-SOURCE-15	g3rs-code/direct-fs-usage	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/direct_fs_usage/rule.rs
RS-CODE-SOURCE-16	g3rs-code/panic-macro	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/panic_macro/rule.rs
RS-CODE-SOURCE-17	g3rs-code/impl-allow-blast-radius	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/impl_allow_blast_radius/rule.rs
RS-CODE-SOURCE-18	g3rs-code/always-true-cfg-attr-bypass	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/always_true_cfg_attr_bypass/rule.rs
RS-CODE-SOURCE-19	g3rs-code/large-type-inventory	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/large_type_inventory/rule.rs
RS-CODE-SOURCE-20	g3rs-code/extern-allow	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/extern_allow/rule.rs
RS-CODE-SOURCE-21	g3rs-code/fs-glob-import	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/fs_glob_import/rule.rs
RS-CODE-SOURCE-22	g3rs-code/deny-forbid-without-reason	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/deny_forbid_without_reason/rule.rs
RS-CODE-SOURCE-23	g3rs-code/include-bypass	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/include_bypass/rule.rs
RS-CODE-SOURCE-24	g3rs-code/path-attr-with-reason	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/path_attr_with_reason/rule.rs
RS-CODE-SOURCE-29	g3rs-code/large-trait-surface	packages/rs/code/g3rs-code-source-checks/crates/runtime/src/large_trait_surface/rule.rs
